"Company","Symbol","Sector"
"Airtel Africa","AAF.L","Telecommunications"
"Anglo American plc","AAL.L","Mining"
"Abrdn","ABDN.L","Financial Services"
"Associated British Foods","ABF.L","Food Producers"
"Admiral Group","ADM.L","Non-life Insurance"
"Ashtead Group","AHT.L","Support Services"
"Antofagasta plc","ANTO.L","Mining"
"Auto Trader Group","AUTO.L","Media"
"Aviva","AV.L","Life Insurance"
"Aveva","AVV.L","Software & Computer Services"
"AstraZeneca","AZN.L","Pharmaceuticals & Biotechnology"
"BAE Systems","BA.L","Aerospace & Defence"
"Barclays","BARC.L","Banks"
"British American Tobacco","BATS.L","Tobacco"
"Barratt Developments","BDEV.L","Household Goods & Home Construction"
"Beazley Group","BEZ.L","Insurance"
"Berkeley Group Holdings","BKG.L","Household Goods & Home Construction"
"British Land","BLND.L","Real Estate Investment Trusts"
"B&M","BME.L","Retailers"
"Bunzl","BNZL.L","Support Services"
"BP","BP.L","Oil & Gas Producers"
"Burberry","BRBY.L","Personal Goods"
"BT Group","BT-A.L","Fixed Line Telecommunications"
"Coca-Cola HBC","CCH.L","Beverages"
"Centrica","CNA.L","Utilities"
"Compass Group","CPG.L","Support Services"
"Croda International","CRDA.L","Chemicals"
"CRH plc","CRH.L","Construction & Materials"
"Convatec","CTEC.L","Health Care"
"DCC plc","DCC.L","Support Services"
"Diageo","DGE.L","Beverages"
"Endeavour Mining","EDV.L","Mining"
"Entain","ENT.L","Travel & Leisure"
"Experian","EXPN.L","Support Services"
"Foreign & Colonial Investment Trust","FCIT.L","Financial Services"
"Flutter Entertainment","FLTR.L","Travel & Leisure"
"Frasers Group","FRAS.L","Retail"
"Fresnillo plc","FRES.L","Mining"
"Glencore","GLEN.L","Mining"
"GSK plc","GSK.L","Pharmaceuticals & Biotechnology"
"Hargreaves Lansdown","HL.L","Financial Services"
"Halma plc","HLMA.L","Electronic & Electrical Equipment"
"Haleon","HLN.L","Pharmaceuticals & Biotechnology"
"HSBC","HSBA.L","Banks"
"HomeServe","HSV.L","Insurance"
"International Airlines Group","IAG.L","Travel & Leisure"
"IHG Hotels & Resorts","IHG.L","Travel & Leisure"
"3i","III.L","Financial Services"
"Imperial Brands","IMB.L","Tobacco"
"Informa","INF.L","Media"
"Intertek","ITRK.L","Support Services"
"JD Sports","JD.L","General Retailers"
"Kingfisher plc","KGF.L","Retailers"
"Land Securities","LAND.L","Real Estate Investment Trusts"
"Legal & General","LGEN.L","Life Insurance"
"Lloyds Banking Group","LLOY.L","Banks"
"London Stock Exchange Group","LSEG.L","Financial Services"
"Mondi","MNDI.L","Forestry & Paper"
"M&G","MNG.L","Asset Managers"
"Melrose Industries","MRO.L","Automobiles & Parts"
"National Grid plc","NG.L","Gas, Water & Multi-utilities"
"NatWest Group","NWG.L","Banks"
"Next plc","NXT.L","General Retailers"
"Ocado Group","OCDO.L","Food & Drug Retailers"
"Phoenix Group","PHNX.L","Life Insurance"
"Prudential plc","PRU.L","Life Insurance"
"Pershing Square Holdings","PSH.L","Financial Services"
"Persimmon plc","PSN.L","Household Goods & Home Construction"
"Pearson plc","PSON.L","Media"
"RELX","REL.L","Media"
"Rio Tinto","RIO.L","Mining"
"Reckitt","RKT.L","Household Goods & Home Construction"
"Rightmove","RMV.L","Media"
"Rolls-Royce Holdings","RR.L","Aerospace & Defence"
"RS Group plc","RS1.L","Industrials"
"Rentokil Initial","RTO.L","Support Services"
"Sainsbury's","SBRY.L","Food & Drug Retailers"
"Schroders","SDR.L","Financial Services"
"Sage Group","SGE.L","Software & Computer Services"
"Segro","SGRO.L","Real Estate Investment Trusts"
"Shell plc","SHEL.L","Oil & Gas Producers"
"Smurfit Kappa","SKG.L","General Industrials"
"DS Smith","SMDS.L","General Industrials"
"Smiths Group","SMIN.L","General Industrials"
"Scottish Mortgage Investment Trust","SMT.L","Equity Investment Instruments"
"Smith & Nephew","SN.L","Health Care Equipment & Services"
"Spirax-Sarco Engineering","SPX.L","Industrial Engineering"
"SSE plc","SSE.L","Electricity"
"Standard Chartered","STAN.L","Banks"
"St. James's Place plc","STJ.L","Financial Services"
"Severn Trent","SVT.L","Gas, Water & Multi-utilities"
"Tesco","TSCO.L","Food & Drug Retailers"
"Taylor Wimpey","TW.L","Household Goods & Home Construction"
"Unilever","ULVR.L","Personal Goods"
"Unite Group","UTG.L","Real Estate"
"United Utilities","UU.L","Gas, Water & Multi-utilities"
"Vodafone Group","VOD.L","Mobile Telecommunications"
"Weir Group","WEIR.L","Industrial Goods and Services"
"WPP plc","WPP.L","Media"
"Whitbread","WTB.L","Retail hospitality"
